,degree_centrality,betwenness_centrality,closeness_centrality,page_rank,hubs,authorities
Alessandro Checco,0.05333333333333334,0.0,0.4601226993865031,0.011693875421367031,0.019751706663974758,0.027950122640204536
Andrea Brunello,0.04,0.0,0.42857142857142855,0.0091832461154412,0.014604758292194457,0.015057512051764161
Vincenzo Della Mea,0.09333333333333334,0.006696680196680198,0.5033557046979866,0.019065121596827377,0.029057880306740357,0.03358136082400974
Hideo Joho,0.013333333333333334,0.0,0.36764705882352944,0.00446901904221767,0.00484450422241539,0.005766390208338974
Yongli Ren,0.013333333333333334,0.0,0.36764705882352944,0.00446901904221767,0.00484450422241539,0.005766390208338973
Luca Vassena,0.013333333333333334,0.0,0.3768844221105528,0.00446691764673767,0.004940063102256128,0.006879567585115981
Giuseppe Serra,0.013333333333333334,0.0,0.3694581280788177,0.0043988414261199125,0.004605703336149201,0.007213196747121995
Tereza Iofciu,0.02666666666666667,0.0,0.423728813559322,0.0069796483481435,0.00999145259419569,0.006486533603953904
Wolfgang Nejdl,0.02666666666666667,0.0,0.4166666666666667,0.0069514534312682405,0.010150159935637814,0.006486533603953903
Jan Wielemaker,0.013333333333333334,0.0,0.3694581280788177,0.0043988414261199125,0.004605703336149201,0.007213196747121997
Flora Salim,0.04,0.001117975117975118,0.41208791208791207,0.009529364525405946,0.010773413619070108,0.005766390208338964
Shaoyang Fan,0.05333333333333334,0.0020938080938080936,0.39473684210526316,0.01192527200360266,0.01229347299375235,0.015057512051764156
Richard Gomer,0.04,0.004192604692604693,0.423728813559322,0.0095248281556394,0.010813047321786985,0.006406076984486471
Shazia Sadiq,0.04,0.0,0.4143646408839779,0.008988600409078326,0.013854382457530389,0.006486533603953902
Mark Sanderson,0.06666666666666667,0.008492492492492497,0.4658385093167702,0.01464477147372981,0.02019489445555596,0.020490273098097117
Paolo Coppola,0.06666666666666667,0.001553137553137553,0.42613636363636365,0.013919689649376277,0.01779730332801867,0.006879567585115979
Raquel Martinez,0.013333333333333334,0.0,0.36764705882352944,0.00446901904221767,0.00484450422241539,0.005766390208338974
Jonathon Hare,0.013333333333333334,0.0,0.3694581280788177,0.00449511256361293,0.004781355760814003,0.006406076984486471
Carlo Tasso,0.013333333333333334,0.0,0.3768844221105528,0.00446691764673767,0.004940063102256128,0.006879567585115979
Joel Mackenzie,0.05333333333333334,0.002217230217230218,0.39267015706806285,0.012080151865366831,0.0102396267382121,0.005238204202643128
Djellel Difallah,0.02666666666666667,0.0,0.41208791208791207,0.006883377210650483,0.009815800169530889,0.0064865336039539
Carlo Alberto Beltrami,0.013333333333333334,0.0,0.3694581280788177,0.00449511256361293,0.004781355760814003,0.00640607698448647
Beatrice Portelli,0.05333333333333334,0.0004604604604604605,0.43103448275862066,0.011604904234302292,0.016675848131932014,0.015057512051764156
Rishabh Mehrotra,0.06666666666666667,0.002616057616057616,0.4491017964071856,0.01422225600885808,0.018090346911928835,0.00784431530464216
Mounia Lalmas,0.05333333333333334,0.004339339339339339,0.4166666666666667,0.012174603293743338,0.012691741795625704,0.00784431530464216
Marco Basaldella,0.013333333333333334,0.0,0.3694581280788177,0.00449511256361293,0.004781355760814003,0.006406076984486471
W. Bruce Croft,0.013333333333333334,0.0,0.36764705882352944,0.00446901904221767,0.00484450422241539,0.0057663902083389725
Lawrence Cavedon,0.013333333333333334,0.0,0.36764705882352944,0.00446901904221767,0.00484450422241539,0.005766390208338973
Elena Simperl,0.013333333333333334,0.0,0.3694581280788177,0.00449511256361293,0.004781355760814003,0.006406076984486469
Ryen W. White,0.013333333333333334,0.0,0.36764705882352944,0.00446901904221767,0.00484450422241539,0.005766390208338974
Cristina Sarasua,0.013333333333333334,0.0,0.3694581280788177,0.00449511256361293,0.004781355760814003,0.00640607698448647
Claudiu S. Firan,0.02666666666666667,0.0,0.4098360655737705,0.00674728985268682,0.010364647567011552,0.006486533603953899
Giorgio Brajnik,0.013333333333333334,0.0,0.3768844221105528,0.00446691764673767,0.004940063102256128,0.006879567585115977
Pavlos Vougiouklis,0.02666666666666667,0.0009894179894179896,0.373134328358209,0.00708231795679847,0.006007004133057261,0.00640607698448647
Maarten de Rijke,0.04,0.0003603603603603603,0.43103448275862066,0.009268495550352248,0.012860736279180726,0.005766390208338974
Johanne R. Trippas,0.02666666666666667,0.0024864864864864865,0.3712871287128713,0.007735977733190648,0.0053390709641013955,0.005766390208338977
