,degree_centrality,betwenness_centrality,closeness_centrality,page_rank,hubs,authorities
Giuseppe Primiero,0.013333333333333334,0.0,0.3640776699029126,0.00524708623699634,0.007213196747121993,0.007213196747121992
Falk Scholer,0.05333333333333334,0.011891891891891895,0.4573170731707317,0.016196407051079945,0.026896350082583568,0.0268963500825836
Edgar Meij,0.013333333333333334,0.0,0.352112676056338,0.0058372601027927365,0.005766390208338967,0.005766390208338974
Michele Catasta,0.013333333333333334,0.0,0.3694581280788177,0.005696127932282808,0.006486533603953902,0.006486533603953904
Luis-Daniel Ibáñez,0.013333333333333334,0.0,0.3440366972477064,0.005521638659437415,0.006406076984486468,0.006406076984486471
Mattia Zeni,0.013333333333333334,0.0,0.3440366972477064,0.005521638659437415,0.006406076984486468,0.006406076984486471
Lei Han,0.02666666666666667,0.0,0.39893617021276595,0.009244082381193907,0.01289261058844037,0.012892610588440372
Elena Nazzi,0.013333333333333334,0.0,0.36764705882352944,0.005544871413178796,0.006879567585115981,0.006879567585115973
Alberto Tonon,0.013333333333333334,0.0,0.3694581280788177,0.005696127932282808,0.006486533603953902,0.006486533603953903
Philippe Cudre-Mauroux,0.013333333333333334,0.0,0.3694581280788177,0.005696127932282808,0.006486533603953902,0.006486533603953902
J. Shane Culpepper,0.013333333333333334,0.0,0.36764705882352944,0.005213689507249942,0.007844315304642153,0.00784431530464216
Tim Draws,0.04,0.0,0.3826530612244898,0.01167678516494721,0.02029571625440728,0.02029571625440728
Mihai Horia Popescu,0.013333333333333334,0.0,0.36764705882352944,0.005213689507249942,0.007844315304642153,0.00784431530464216
Jorge Carrillo-de-Albornoz,0.013333333333333334,0.0,0.352112676056338,0.0058372601027927365,0.005766390208338967,0.005766390208338973
Peter A Bath,0.013333333333333334,0.0,0.3694581280788177,0.005696127932282808,0.006486533603953902,0.006486533603953902
Tetsuya Sakai,0.013333333333333334,0.0,0.3640776699029126,0.00524708623699634,0.007213196747121993,0.007213196747121997
Omar Alonso,0.013333333333333334,0.0,0.36764705882352944,0.005544871413178796,0.006879567585115981,0.006879567585115979
Alessandro Checco,0.05333333333333334,0.0,0.43859649122807015,0.015757489704387558,0.027950122640204515,0.027950122640204536
Andrea Brunello,0.02666666666666667,0.0,0.3787878787878788,0.008487091533719966,0.015057512051764145,0.015057512051764161
Vincenzo Della Mea,0.06666666666666667,0.0013213213213213212,0.43859649122807015,0.018795926816510787,0.033581360824009726,0.03358136082400974
Hideo Joho,0.013333333333333334,0.0,0.352112676056338,0.0058372601027927365,0.005766390208338967,0.005766390208338974
Yongli Ren,0.013333333333333334,0.0,0.352112676056338,0.0058372601027927365,0.005766390208338967,0.005766390208338973
Luca Vassena,0.013333333333333334,0.0,0.36764705882352944,0.005544871413178796,0.006879567585115981,0.006879567585115981
Giuseppe Serra,0.013333333333333334,0.0,0.3640776699029126,0.00524708623699634,0.007213196747121993,0.007213196747121995
Tereza Iofciu,0.013333333333333334,0.0,0.3694581280788177,0.005696127932282808,0.006486533603953902,0.006486533603953904
Wolfgang Nejdl,0.013333333333333334,0.0,0.3694581280788177,0.005696127932282808,0.006486533603953902,0.006486533603953903
Jan Wielemaker,0.013333333333333334,0.0,0.3640776699029126,0.00524708623699634,0.007213196747121993,0.007213196747121997
Flora Salim,0.013333333333333334,0.0,0.352112676056338,0.0058372601027927365,0.005766390208338967,0.005766390208338964
Shaoyang Fan,0.02666666666666667,0.0,0.3787878787878788,0.008487091533719966,0.015057512051764145,0.015057512051764156
Richard Gomer,0.013333333333333334,0.0,0.3440366972477064,0.005521638659437415,0.006406076984486468,0.006406076984486471
Shazia Sadiq,0.013333333333333334,0.0,0.3694581280788177,0.005696127932282808,0.006486533603953902,0.006486533603953902
Mark Sanderson,0.04,0.0,0.423728813559322,0.012648452602168844,0.0204902730980971,0.020490273098097117
Paolo Coppola,0.013333333333333334,0.0,0.36764705882352944,0.005544871413178796,0.006879567585115981,0.006879567585115979
Raquel Martinez,0.013333333333333334,0.0,0.352112676056338,0.0058372601027927365,0.005766390208338967,0.005766390208338974
Jonathon Hare,0.013333333333333334,0.0,0.3440366972477064,0.005521638659437415,0.006406076984486468,0.006406076984486471
Carlo Tasso,0.013333333333333334,0.0,0.36764705882352944,0.005544871413178796,0.006879567585115981,0.006879567585115979
Joel Mackenzie,0.013333333333333334,0.0,0.3333333333333333,0.0051633778417535595,0.005238204202643132,0.005238204202643128
Djellel Difallah,0.013333333333333334,0.0,0.3694581280788177,0.005696127932282808,0.006486533603953902,0.0064865336039539
Carlo Alberto Beltrami,0.013333333333333334,0.0,0.3440366972477064,0.005521638659437415,0.006406076984486468,0.00640607698448647
Beatrice Portelli,0.02666666666666667,0.0,0.3787878787878788,0.008487091533719966,0.015057512051764145,0.015057512051764156
Rishabh Mehrotra,0.013333333333333334,0.0,0.36764705882352944,0.005213689507249942,0.007844315304642153,0.00784431530464216
Mounia Lalmas,0.013333333333333334,0.0,0.36764705882352944,0.005213689507249942,0.007844315304642153,0.00784431530464216
Marco Basaldella,0.013333333333333334,0.0,0.3440366972477064,0.005521638659437415,0.006406076984486468,0.006406076984486471
W. Bruce Croft,0.013333333333333334,0.0,0.352112676056338,0.0058372601027927365,0.005766390208338967,0.0057663902083389725
Lawrence Cavedon,0.013333333333333334,0.0,0.352112676056338,0.0058372601027927365,0.005766390208338967,0.005766390208338973
Elena Simperl,0.013333333333333334,0.0,0.3440366972477064,0.005521638659437415,0.006406076984486468,0.006406076984486469
Ryen W. White,0.013333333333333334,0.0,0.352112676056338,0.0058372601027927365,0.005766390208338967,0.005766390208338974
Cristina Sarasua,0.013333333333333334,0.0,0.3440366972477064,0.005521638659437415,0.006406076984486468,0.00640607698448647
Claudiu S. Firan,0.013333333333333334,0.0,0.3694581280788177,0.005696127932282808,0.006486533603953902,0.006486533603953899
Giorgio Brajnik,0.013333333333333334,0.0,0.36764705882352944,0.005544871413178796,0.006879567585115981,0.006879567585115977
Pavlos Vougiouklis,0.013333333333333334,0.0,0.3440366972477064,0.005521638659437415,0.006406076984486468,0.00640607698448647
Maarten de Rijke,0.013333333333333334,0.0,0.352112676056338,0.0058372601027927365,0.005766390208338967,0.005766390208338974
Johanne R. Trippas,0.013333333333333334,0.0,0.352112676056338,0.0058372601027927365,0.005766390208338967,0.005766390208338977
